#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10988483|2018-12-22T23:21:54|27.7764|85.5548|10.0|us|NEIC PDE|us|us2000iwg3|mb|4.1|us|NEPAL
10970152|2018-11-11T07:07:31|29.9248|80.6472|10.0|us|NEIC PDE|us|us1000hqj0|mb|4.5|us|NEPAL-INDIA BORDER REGION
10964369|2018-10-05T07:15:04|28.7099|81.4792|10.0|us|NEIC PDE|us|us1000h7ex|mb|4.3|us|NEPAL-INDIA BORDER REGION
10964367|2018-10-05T07:08:11|28.874|81.5789|10.0|us|NEIC PDE|us|us1000han2|mb|4.4|us|NEPAL-INDIA BORDER REGION
10951990|2018-09-25T03:47:30|26.0845|90.9276|10.0|us|NEIC PDE|us|us2000hjlb|mb|4.3|us|NORTHEASTERN INDIA
10947197|2018-09-12T04:50:46|26.374|90.1647|10.0|us|NEIC PDE|us|us2000hd8v|Mww|5.3|us|NORTHEASTERN INDIA
10937864|2018-08-17T19:04:19|25.6343|90.9167|10.0|us|NEIC PDE|us|us1000gdj7|mb|3.9|us|INDIA-BANGLADESH BORDER REGION
10934261|2018-08-11T10:04:15|26.7933|90.9506|10.0|us|NEIC PDE|us|us1000g7hg|mb|3.8|us|NORTHEASTERN INDIA
10925712|2018-07-30T21:23:29|29.405|90.3333|19.78|us|NEIC PDE|us|us2000ghl9|mb|4.0|us|XIZANG
10895029|2018-06-28T04:07:50|27.8504|84.8193|35.0|us|NEIC PDE|us|us2000fpul|mb|4.7|us|NEPAL-INDIA BORDER REGION
10885117|2018-06-17T15:07:37|27.4201|88.4739|49.76|us|NEIC PDE|us|us1000etxu|mb|4.4|us|SIKKIM, INDIA
10844733|2018-06-05T01:34:36|29.6818|81.6648|10.0|us|NEIC PDE|us|us1000eiq5|mb|4.8|us|NEPAL
10802054|2018-05-10T20:01:51|28.4517|87.421|4.66|us|NEIC PDE|us|us1000e2bu|mb|4.4|us|XIZANG
10803878|2018-05-08T13:07:40|27.8525|87.2374|46.02|us|NEIC PDE|us|us1000e2zc|mb|4.1|us|NEPAL
10726352|2018-04-10T14:14:20|24.1309|82.5521|10.0|us|NEIC PDE|us|us2000dxj3|mb|4.6|us|NORTHERN INDIA
10763044|2018-03-21T22:58:23|26.3137|89.9018|10.0|us|NEIC PDE|us|us1000d7b4|mb|4.0|us|INDIA-BANGLADESH BORDER REGION
10642777|2018-01-30T14:15:16|24.5706|89.5825|16.25|us|NEIC PDE|us|us2000czng|mb|4.4|us|BANGLADESH
10606755|2018-01-20T01:14:27|26.1323|89.8746|11.47|us|NEIC PDE|us|us2000clmv|mb|4.5|us|INDIA-BANGLADESH BORDER REGION
10562547|2017-12-11T03:35:13|25.725|90.8605|10.0|us|NEIC PDE|us|us2000c2rj|mb|4.6|us|INDIA-BANGLADESH BORDER REGION
10561633|2017-12-08T02:51:18|27.7618|86.1471|10.0|us|NEIC PDE|us|us2000c1xk|mb|5.0|us|NEPAL
10559970|2017-12-02T23:43:44|27.2856|88.0806|10.0|us|NEIC PDE|us|us1000bkfr|mb|4.2|us|SIKKIM, INDIA
10453348|2017-11-08T04:50:52|24.1007|91.2708|29.92|us|NEIC PDE|us|us2000bk8n|mb|4.9|us|INDIA-BANGLADESH BORDER REGION
10452444|2017-11-06T03:09:03|29.6127|81.2918|10.0|us|NEIC PDE|us|us2000bj36|mb|4.6|us|NEPAL
10401754|2017-09-07T14:32:03|25.275|90.2279|36.67|us|NEIC PDE|us|us2000ahj3|mb|4.1|us|INDIA-BANGLADESH BORDER REGION
10395286|2017-08-22T00:50:35|29.3871|81.1558|10.0|us|NEIC PDE|us|us2000aah5|mb|4.6|us|NEPAL
10399477|2017-08-21T12:03:13|27.5881|86.1237|10.0|us|NEIC PDE|us|us2000aa5v|mb|4.5|us|NEPAL
10276934|2017-07-15T16:35:28|28.8507|81.6418|27.7|us|NEIC PDE|us|us20009wlh|mb|4.3|us|NEPAL-INDIA BORDER REGION
10270818|2017-07-02T01:58:27|27.2357|86.1117|10.0|us|NEIC PDE|us|us100095t8|mb|4.9|us|NEPAL
10228239|2017-05-24T03:16:29|27.5014|90.1596|28.96|us|NEIC PDE|us|us10008wn2|mb|4.4|us|BHUTAN
10164616|2017-05-16T22:13:19|27.3266|88.1714|10.0|us|NEIC PDE|us|us10008udz|mb|4.2|us|SIKKIM, INDIA
10156259|2017-04-25T16:14:55|25.6263|90.8833|31.19|us|NEIC PDE|us|us10008na7|mb|4.3|us|INDIA-BANGLADESH BORDER REGION
10154953|2017-04-24T15:04:30|29.6836|81.3034|18.73|us|NEIC PDE|us|us10008kia|mb|4.3|us|NEPAL
10153322|2017-04-18T14:01:34|25.0632|91.6394|34.06|us|NEIC PDE|us|us10008n34|mb|4.5|us|INDIA-BANGLADESH BORDER REGION
10044241|2017-03-26T21:42:11|27.1419|88.5534|24.39|us|NEIC PDE|us|us20008uvs|mb|4.5|us|SIKKIM, INDIA
10006826|2017-03-07T10:28:57|26.9112|89.155|10.0|us|NEIC PDE|us|us100087jx|mb|3.9|us|INDIA-BANGLADESH BORDER REGION
10004460|2017-02-27T04:21:41|27.361|85.9644|17.78|us|NEIC PDE|us|us20008mlv|mb|4.6|us|NEPAL
10004453|2017-02-27T03:37:45|27.4339|86.1167|10.0|us|NEIC PDE|us|us20008mll|mb|4.7|us|NEPAL
10000224|2017-02-12T04:05:33|25.548|91.1035|36.94|us|NEIC PDE|us|us20008j9t|mb|4.4|us|INDIA-BANGLADESH BORDER REGION
5199436|2016-12-01T16:52:50|29.9884|80.6289|36.63|us|NEIC PDE|us|us10007e1x|mb|5.2|us|NEPAL-INDIA BORDER REGION
5198995|2016-11-27T23:35:21|27.8063|86.5323|10.0|us|NEIC PDE|us|us10007cuh|mb|5.4|us|NEPAL
5196146|2016-10-23T15:56:41|26.0651|90.256|22.34|us|NEIC PDE|us|us20007g8h|mb|4.6|us|NORTHEASTERN INDIA
5196005|2016-10-19T07:20:49|24.8107|91.2245|30.29|us|NEIC PDE|us|us20007fac|mb|4.4|us|INDIA-BANGLADESH BORDER REGION
5197464|2016-10-07T04:52:38|28.35|85.9666|10.0|us|NEIC PDE|us|us20007dve|mb|4.0||NEPAL
5193705|2016-09-18T17:14:17|27.8196|85.4746|25.2|us|NEIC PDE|us|us10006qpe|mb|4.2|us|NEPAL
5188281|2016-07-02T00:23:46|29.5139|81.0984|10.0|us|NEIC PDE||us10005zd7|mb|4.4|us|NEPAL
5186619|2016-06-29T09:10:28|29.5553|81.1306|9.03|us|NEIC PDE||us200067x7|mb|4.6|us|NEPAL
5189080|2016-06-27T14:53:00|28.7638|87.4704|10.0|us|NEIC PDE||us10005z6t|mb|4.7|us|XIZANG
5189148|2016-06-21T05:49:46|27.7243|84.9384|10.0|us|NEIC PDE||us200065q8|mb|3.5|us|NEPAL-INDIA BORDER REGION
5186438|2016-06-13T23:27:42|27.9339|84.4925|10.0|us|NEIC PDE||us200065ir|mb|4.1|us|NEPAL-INDIA BORDER REGION
5183974|2016-05-28T09:39:10|28.0097|85.4237|10.0|us|NEIC PDE|us|us20005ysr|mb|4.6|us|NEPAL
5186721|2016-05-26T09:29:25|28.4555|87.4821|10.0|us|NEIC PDE|us|us20005y1t|mb|4.0|us|XIZANG
5183554|2016-05-23T19:09:52|27.704|85.0896|10.0|us|NEIC PDE|us|us10005jdi|mb|4.3|us|NEPAL
5183739|2016-05-23T18:09:03|28.4178|87.4903|10.0|us|NEIC PDE|us|us10005jcy|mb|4.2|us|XIZANG
5183426|2016-05-22T04:49:45|28.5599|87.5853|11.05|us|NEIC PDE|us|us10005j6t|mb|4.3|us|XIZANG
5185587|2016-05-22T02:55:42|28.3854|87.3554|10.0|us|NEIC PDE|us|us10005j6l|mb|4.0|us|XIZANG
5183412|2016-05-22T02:05:54|28.5654|87.4796|4.44|us|NEIC PDE|us|us10005j6d|mb|5.1|us|XIZANG
5183410|2016-05-22T01:48:48|28.4538|87.5326|9.36|us,gcmt|NEIC PDE|us|gcmt20160522014848,us10005j6b|mwc|5.4|gcmt|XIZANG
5185671|2016-05-22T01:46:09|28.2457|87.2227|10.37|us|NEIC PDE|us|us20005yj5|mb|4.0|us|XIZANG
5183409|2016-05-22T01:32:31|28.4767|87.5067|6.99|us|NEIC PDE|us|us10005j69|mb|4.5|us|XIZANG
5186062|2016-05-21T07:59:00|28.2817|87.3528|10.0|us|NEIC PDE|us|us10005j3y|mb|4.0|us|XIZANG
5185393|2016-05-16T18:03:47|25.9006|90.2255|35.12|us|NEIC PDE|us|us10005jku|mb|4.3|us|INDIA-BANGLADESH BORDER REGION
5182775|2016-05-14T22:45:55|27.8608|85.3631|22.11|us|NEIC PDE|us|us10005hgq|mb|4.4|us|NEPAL
5183871|2016-05-13T23:20:59|27.958|85.5191|10.0|us|NEIC PDE|us|us10005ivg|mb|4.0|us|NEPAL
5185621|2016-05-11T08:52:47|28.0545|84.5639|15.99|us|NEIC PDE|us|us10005ggl|mb|4.5|us|NEPAL
5183570|2016-05-11T01:19:42|27.9448|84.9277|10.23|us|NEIC PDE|us|us10005ihi|mb|4.5|us|NEPAL-INDIA BORDER REGION
5185612|2016-05-09T05:17:54|28.21|85.7631|39.31|us|NEIC PDE|us|us10005i7d|mb|4.2|us|NEPAL
5184348|2016-05-07T09:43:39|25.4013|91.7893|37.62|us|NEIC PDE|us|us10005h6s|mb|4.1|us|INDIA-BANGLADESH BORDER REGION
5184153|2016-05-03T16:31:51|29.6379|87.9346|25.81|us|NEIC PDE|us|us10005gkb|mb|4.1|us|XIZANG
